,RED,IR,GREEN
1763344895168,914855,1294302,17511
1763344895208,914928,1294175,17778
1763344895248,914959,1293861,17875
1763344895288,914891,1293903,17887
1763344895328,914964,1293745,17851
1763344895368,915034,1293774,17837
1763344895408,914970,1293614,17970
1763344895448,915049,1293598,18152
1763344895488,915222,1293652,18206
1763344895528,915311,1293741,18277
1763344895568,915388,1293851,18499
1763344895608,915594,1294166,18695
1763344895648,915567,1294082,18976
1763344895688,915768,1294341,19290
1763344895728,915820,1294372,19506
1763344895768,915872,1294474,19856
1763344895808,915953,1294440,20281
1763344895848,915982,1294532,20844
1763344895888,916186,1294636,21285
1763344895928,916391,1294983,21635
1763344895968,916485,1294988,22143
1763344896008,916906,1295712,22634
1763344896048,917272,1296133,22921
1763344896088,917546,1296136,23471
1763344896128,918033,1296786,23440
1763344896168,917981,1296675,23679
1763344896208,917692,1296249,23765
1763344896248,917544,1295941,23873
1763344896288,917123,1295451,23928
1763344896328,916983,1295290,24140
1763344896368,917042,1295494,24171
1763344896408,916918,1295316,24229
1763344896448,916867,1295342,24326
1763344896488,916873,1295293,24598
1763344896528,916983,1295581,24784
1763344896568,916940,1295676,24999
1763344896608,916876,1295653,25259
1763344896648,917012,1295997,25431
1763344896688,917080,1296078,25735
1763344896728,917201,1296436,26080
1763344896768,917240,1296654,26473
1763344896808,917317,1296803,26879
1763344896848,917226,1296953,27195
1763344896888,917053,1296799,28077
1763344896928,916766,1296281,28371
1763344896968,916356,1295836,28384
1763344897008,915923,1295142,28336
1763344897048,915775,1294928,28262
1763344897088,915732,1294929,28135
1763344897128,915486,1294670,28257
1763344897168,915230,1294258,28452
1763344897208,915342,1294468,28576
1763344897248,915450,1294644,28644
1763344897288,915498,1294735,28706
1763344897328,915492,1294747,28805
1763344897368,915391,1294619,28913
1763344897408,915390,1294641,29067
1763344897448,915395,1294654,29195
1763344897488,915539,1294827,29366
1763344897528,915733,1295086,29539
1763344897568,915600,1295061,29830
1763344897608,915746,1295058,30049
1763344897648,915806,1295178,30350
1763344897688,915778,1295250,30670
1763344897728,915779,1295317,31027
1763344897768,915637,1295046,31276
1763344897808,915608,1294685,31365
1763344897848,915472,1294555,31347
1763344897888,915445,1294306,31340
1763344897928,915502,1294289,31201
1763344897968,915503,1294244,31200
1763344898008,915483,1294143,31217
1763344898048,915470,1294106,31366
1763344898088,915483,1294103,31393
1763344898128,915608,1294024,31452
1763344898168,915672,1294161,31526
1763344898208,915711,1294054,31672
1763344898248,915729,1294108,31753
1763344898288,915809,1294135,31980
1763344898328,915861,1294172,32201
1763344898368,915888,1294129,32426
1763344898408,915949,1294319,32656
1763344898448,915989,1294348,32821
1763344898488,915978,1294400,33232
1763344898528,916013,1294373,33484
1763344898568,916131,1294431,33722
1763344898608,916121,1294563,34071
1763344898648,915998,1294270,34301
1763344898688,915989,1294062,34362
1763344898728,915877,1293836,34204
1763344898768,915788,1293699,34105
1763344898808,915913,1293682,33948
1763344898848,915872,1293522,33936
1763344898888,915989,1293757,33812
1763344898928,916026,1293617,33737
1763344898968,916041,1293622,33739
1763344899008,916105,1293765,33807
1763344899048,916139,1293766,33901
1763344899088,916209,1293803,33949
1763344899128,916279,1293933,34043
1763344899168,916325,1293973,34154
1763344899208,916450,1294124,34281
1763344899248,916555,1294283,34364
1763344899288,916575,1294367,34505
1763344899328,916603,1294392,34764
1763344899368,916626,1294396,34997
1763344899408,916695,1294454,35228
1763344899448,916778,1294609,35459
1763344899488,916765,1294813,35730
1763344899528,916755,1294548,35964
1763344899568,916688,1294297,36064
1763344899608,916511,1294095,35923
1763344899648,916384,1293860,35797
1763344899688,916401,1293808,35603
1763344899728,916433,1293648,35429
1763344899768,916479,1293717,35306
1763344899808,916520,1293685,35144
1763344899848,916492,1293657,35113
1763344899888,916603,1293713,35030
1763344899928,916617,1293686,35007
1763344899968,916641,1293781,34945
1763344900008,916745,1293786,35025
1763344900048,916808,1293882,35088
1763344900088,916923,1293972,35177
1763344900128,916954,1294056,35252
1763344900168,917045,1294082,35438
1763344900208,917118,1294211,35582
1763344900248,917177,1294209,35784
1763344900288,917260,1294354,35956
1763344900328,917388,1294450,36097
1763344900368,917474,1294555,36394
1763344900408,917474,1294363,36595
1763344900448,917423,1294244,36808
1763344900488,917331,1293922,36726
1763344900528,917310,1293693,36660
1763344900568,917253,1293640,36498
1763344900608,917339,1293708,36318
1763344900648,917379,1293442,35944
1763344900688,917324,1293453,35855
1763344900728,917263,1293318,35837
1763344900768,917311,1293386,35699
1763344900808,917287,1293226,35648
1763344900848,917371,1293368,35557
1763344900888,917380,1293313,35576
1763344900928,917467,1293373,35573
1763344900968,917519,1293428,35619
1763344901008,917600,1293538,35730
1763344901048,917708,1293641,35743
1763344901088,917710,1293620,35982
1763344901128,917754,1293744,35996
1763344901168,917738,1293756,36182
1763344901208,917827,1293843,36288
1763344901248,917826,1293876,36541
1763344901288,917925,1294064,36653
1763344901328,918014,1294111,36901
1763344901368,917960,1294009,37013
1763344901408,917843,1293754,37114
1763344901448,917805,1293612,36935
1763344901488,917796,1293320,36803
1763344901528,917815,1293229,36464
1763344901568,917820,1293175,36231
1763344901608,917781,1293183,36037
1763344901648,917826,1293085,35910
1763344901688,917835,1293037,35812
1763344901728,917872,1293072,35676
1763344901768,917872,1293066,35563
1763344901808,917850,1293127,35503
1763344901848,918042,1293267,35477
1763344901888,918053,1293289,35485
1763344901928,918209,1293471,35468
1763344901968,918286,1293653,35481
1763344902008,918341,1293661,35555
1763344902048,918415,1293771,35578
1763344902088,918552,1293843,35681
1763344902128,918476,1293892,35873
1763344902168,918621,1294148,35939
1763344902208,918664,1294108,36076
1763344902248,918739,1294246,36268
1763344902288,918775,1294272,36445
1763344902328,918653,1294049,36535
1763344902368,918623,1293836,36436
1763344902408,918425,1293562,36254
1763344902448,918293,1293361,36015
1763344902488,918379,1293203,35765
1763344902528,918388,1293111,35478
1763344902568,918355,1293044,35301
1763344902608,918432,1293036,35141
1763344902648,918428,1293090,34969
1763344902688,918389,1292986,34912
1763344902728,918398,1292975,34820
